0.00009260,-0.00033300,-0.06740000,0.00005390,-0.00099900,0.00006090,-0.03040000,-0.00687000,-0.00030900,-0.00000459,-0.08880000,0.00090700,-0.00006110,0.00095700
-0.00033300,0.00006590,0.00923000,-0.00085800,-0.09110000,-0.00000280,0.00006820,0.00062600,-0.00007820,-0.02970000,-0.00002070,0.00605000,0.00009600,-0.00000796
-0.06740000,0.00923000,0.00002960,0.00001320,-0.00008630,-0.00084000,0.00090600,0.00000608,-0.00006540,0.00005470,-0.00008170,0.00013800,-0.00006950,-0.00049400
0.00005390,-0.00085800,0.00001320,0.00582000,0.04030000,-0.09730000,0.09650000,0.00007300,-0.00007300,0.00004120,0.00005540,0.00016300,-0.00000830,-0.00026000
-0.00000999,-0.09110000,-0.00008630,0.00040300,0.00096600,-0.00000209,-0.00088700,-0.00000478,0.00547000,-0.00002390,-0.00066000,-0.00000880,0.02780000,0.00074200
0.00006090,-0.00000280,-0.00084000,-0.09730000,-0.00000209,0.00009840,-0.00092500,0.00008960,-0.00000475,0.00076100,0.00005000,-0.00055600,-0.00225000,0.00038100
-0.03040000,0.00006820,0.00090600,0.00096500,-0.00088700,-0.00092500,0.00000744,0.00379000,0.00009100,-0.00006770,0.00004840,-0.01120000,0.00009900,0.00007570
-0.00687000,0.00000626,0.00000608,0.00007300,-0.00000478,0.00008960,0.00379000,0.00050300,0.07960000,0.00007410,0.00009690,-0.00003210,-0.00942000,0.00645000
-0.00000309,-0.00007820,-0.00006540,-0.00007300,0.00547000,-0.00000475,0.00009100,0.00079600,0.00001900,-0.00001310,0.00194000,-0.00004800,0.00004830,0.00085900
-0.00000459,-0.00029700,0.00005470,0.00004120,-0.00002390,0.00000761,-0.00006770,0.00007410,-0.00001310,0.00000554,0.00009260,-0.00000930,-0.00077700,-0.00002600
-0.00088800,-0.00002070,-0.00008170,0.00005540,-0.00066000,0.00005000,0.00004840,0.00009690,0.00194000,0.00009260,0.00000368,-0.00008830,0.00008040,0.01300000
0.00090700,0.00006050,0.00013800,0.00016300,-0.00000880,-0.00000556,-0.00011200,-0.00003210,-0.00004800,-0.00000930,-0.00008830,0.00006650,0.00006480,-0.00006490
-0.00006110,0.00009600,-0.00006950,-0.00000830,0.00027800,-0.00002250,0.00009900,-0.00942000,0.00004830,-0.00077700,0.00008040,0.00006480,0.00000210,-0.00060200
0.00095700,-0.00000796,-0.00049400,-0.00026000,0.00074200,0.00038100,0.00007570,0.00645000,0.00085900,-0.00002600,0.01300000,-0.00006490,-0.00000602,0.00001340
